"","ALAND10","INTPTLON10","INTPTLAT10"
"tr.300",910854,"-075.0780880","+40.0186719"
"tr.301",725113,"-075.0885046","+40.0204947"
"tr.302",901710,"-075.0823128","+40.0259863"
"tr.306",1007799,"-075.0943787","+40.0504922"
"tr.307",653309,"-075.0885390","+40.0573133"
"tr.308",795704,"-075.0819056","+40.0547831"
"tr.309",645014,"-075.0851914","+40.0437632"
"tr.310",1063411,"-075.0744541","+40.0497292"
"tr.312",429736,"-075.0774550","+40.0354204"
"tr.313",711141,"-075.0698140","+40.0393190"
"tr.316",713953,"-075.0590717","+40.0326126"
"tr.317",881689,"-075.0683989","+40.0306050"
"tr.363.03",2555861,"-074.9702250","+40.1051833"
"tr.347.01",1148190,"-075.0329783","+40.0645576"
"tr.348.02",1232182,"-075.0097300","+40.0687035"
"tr.349",1944040,"-075.0090768","+40.0453848"
"tr.351",997442,"-074.9859716","+40.0488411"
"tr.352",1838264,"-074.9907443","+40.0559122"
"tr.353.01",1375222,"-074.9934646","+40.0659313"
"tr.263.01",406340,"-075.1637161","+40.0728148"
"tr.8.04",145453,"-075.1677563","+39.9485646"
"tr.12.02",308560,"-075.1699475","+39.9459117"
"tr.12.01",327555,"-075.1798721","+39.9471666"
"tr.8.03",152820,"-075.1742489","+39.9493748"
"tr.9809",17228698,"-075.2174145","+39.9051799"
"tr.27.02",367673,"-075.1495606","+39.9280114"
"tr.30.02",226951,"-075.1711915","+39.9327263"
"tr.30.01",226547,"-075.1719912","+39.9290640"
"tr.28.02",362690,"-075.1614073","+39.9288001"
"tr.9807",5957147,"-075.1431656","+39.9104684"
"tr.27.01",224840,"-075.1537033","+39.9285526"
"tr.9806",1286624,"-075.1707151","+39.9055378"
"tr.337.01",973653,"-075.0482983","+40.0672105"
"tr.337.02",1057798,"-075.0578212","+40.0707532"
"tr.315.02",578101,"-075.0548693","+40.0392658"
"tr.314.01",594849,"-075.0665728","+40.0457134"
"tr.314.02",564136,"-075.0602860","+40.0432797"
"tr.167.01",254046,"-075.1619017","+39.9911965"
"tr.167.02",355103,"-075.1578177","+39.9904175"
"tr.279.01",415780,"-075.1544482","+40.0458879"
"tr.279.02",889784,"-075.1543087","+40.0374381"
"tr.81.01",243700,"-075.2360506","+39.9483649"
"tr.71.02",415761,"-075.2282511","+39.9409204"
"tr.88.02",390951,"-075.2027893","+39.9529808"
"tr.87.02",283566,"-075.2070435","+39.9538114"
"tr.87.01",259523,"-075.2104988","+39.9535656"
"tr.81.02",362526,"-075.2345584","+39.9522216"
"tr.86.02",369142,"-075.2167030","+39.9569725"
"tr.375",1032702,"-075.2551922","+39.9840699"
"tr.9808",2106698,"-075.2621770","+39.9714517"
"tr.180.02",439791,"-075.1067096","+39.9836344"
"tr.88.01",184674,"-075.1984477","+39.9539319"
"tr.122.01",380689,"-075.2106388","+40.0034648"
"tr.98.01",297977,"-075.2665972","+39.9775172"
"tr.71.01",253256,"-075.2249984","+39.9381580"
"tr.28.01",222950,"-075.1568319","+39.9289729"
"tr.9805",401968,"-075.1441820","+40.0177581"
"tr.8.01",99958,"-075.1804054","+39.9497374"
"tr.11.01",174014,"-075.1625240","+39.9449918"
"tr.274.02",511360,"-075.1251352","+40.0390702"
"tr.86.01",252482,"-075.2165930","+39.9537341"
"tr.365.02",1733189,"-074.9993521","+40.1235705"
"tr.367",801969,"-075.1439885","+39.9607248"
"tr.376",717304,"-075.1551651","+39.9599009"
"tr.386",3304398,"-075.2110913","+40.0582762"
"tr.385",1338941,"-075.2146234","+40.0757528"
"tr.387",2053212,"-075.2130770","+40.0833122"
"tr.388",1383530,"-075.1982438","+40.0571595"
"tr.389",1280551,"-075.1682764","+40.0543431"
"tr.9800",8922478,"-075.1967773","+39.9880961"
"tr.269",614686,"-075.1324048","+40.0556007"
"tr.270",642216,"-075.1331512","+40.0493231"
"tr.271",372278,"-075.1263611","+40.0484793"
"tr.272",679046,"-075.1180889","+40.0472339"
"tr.273",938011,"-075.1189432","+40.0377547"
"tr.275",606825,"-075.1322707","+40.0400497"
"tr.276",663745,"-075.1392771","+40.0429404"
"tr.277",542404,"-075.1512267","+40.0505444"
"tr.278",724725,"-075.1471626","+40.0425278"
"tr.280",718346,"-075.1546481","+40.0261190"
"tr.281",503541,"-075.1491299","+40.0304473"
"tr.282",855812,"-075.1403327","+40.0348704"
"tr.318",464290,"-075.0769892","+40.0311021"
"tr.319",773285,"-075.0648988","+40.0230600"
"tr.320",681549,"-075.0548674","+40.0271751"
"tr.321",552928,"-075.0589752","+40.0170175"
"tr.323",600043,"-075.0515270","+40.0210898"
"tr.325",839319,"-075.0452561","+40.0263918"
"tr.326",809898,"-075.0396263","+40.0302773"
"tr.9891",2664969,"-075.0034085","+40.0377830"
"tr.329",922922,"-075.0249713","+40.0379010"
"tr.330",732860,"-075.0338492","+40.0335974"
"tr.332",828420,"-075.0448281","+40.0439411"
"tr.9803",7594331,"-075.0106977","+40.0812065"
"tr.355",2290053,"-075.0293244","+40.0911285"
"tr.358",1757756,"-075.0257898","+40.1213169"
"tr.359",2244717,"-075.0151645","+40.1103418"
"tr.360",2043084,"-075.0108187","+40.1042670"
"tr.361",1230432,"-074.9907481","+40.0987766"
"tr.362.03",1475496,"-074.9742967","+40.0760921"
"tr.353.02",1498641,"-074.9968713","+40.0730774"
"tr.362.01",1031929,"-074.9868079","+40.0820300"
"tr.363.02",502696,"-074.9805151","+40.0973153"
"tr.369",1859159,"-075.1957548","+39.9494281"
"tr.373",2573046,"-075.1879361","+39.9024981"
"tr.372",1028984,"-075.1599379","+39.9129487"
"tr.383",3064496,"-075.1248984","+40.0108630"
"tr.390",2032689,"-075.0938840","+40.0357300"
"tr.378",3760084,"-075.0956845","+39.9805802"
"tr.377",736894,"-075.1506932","+39.9824381"
