Rep	theta_norm	Y_norm	MLE_Err	Bayes_Err	Win	bya	c_value	bya_breakpoint
0085	0.00000	6.76702	45.79254	0.00000	45.79254	21.48124	0.99512	0.28613
0086	0.00000	6.71475	45.08790	0.00000	45.08790	22.32189	0.99512	0.34082
0087	0.00000	6.67358	44.53666	0.00000	44.53666	22.98017	0.99707	0.38379
0088	0.00000	7.17179	51.43458	0.22935	51.20523	16.99923	0.99121	0.00000
0089	0.00000	6.87090	47.20925	0.00000	47.20925	19.79382	0.99316	0.17285
0090	0.00000	6.06864	36.82834	0.00000	36.82834	32.25454	0.99902	0.83496
0091	0.00000	6.30527	39.75637	0.00000	39.75637	28.71507	0.99902	0.70020
0092	0.00000	8.32384	69.28639	6.53967	62.74672	10.49338	0.98145	0.00000
0093	0.00000	5.94516	35.34494	0.00000	35.34494	34.05686	0.99902	0.88379
0094	0.00000	6.50179	42.27333	0.00000	42.27333	25.68935	0.99707	0.54590
0095	0.00000	7.83804	61.43489	2.93801	58.49688	12.85403	0.98535	0.00000
0096	0.00000	6.19349	38.35929	0.00000	38.35929	30.40108	0.99902	0.77051
0097	0.00000	7.93781	63.00886	3.57515	59.43372	12.32978	0.98535	0.00000
0098	0.00000	6.71158	45.04534	0.00000	45.04534	22.37270	0.99512	0.34473
0099	0.00000	7.73593	59.84455	2.34430	57.50025	13.41398	0.98730	0.00000
0100	0.00000	7.88500	62.17320	3.23097	58.94223	12.60456	0.98535	0.00000
0101	0.00000	6.24331	38.97890	0.00000	38.97890	29.65272	0.99902	0.74121
0102	0.00000	5.57996	31.13596	0.00000	31.13596	38.39254	0.99902	0.96582
0103	0.00000	7.31316	53.48236	0.56198	52.92038	16.01461	0.98926	0.00000
0104	0.00000	6.98613	48.80595	0.01331	48.79264	18.39327	0.99121	0.04199
0105	0.00000	7.42145	55.07786	0.90955	54.16831	15.30173	0.98926	0.00000
0106	0.00000	6.09241	37.11745	0.00000	37.11745	31.90403	0.99902	0.82324
0107	0.00000	7.61430	57.97760	1.71709	56.26052	14.11362	0.98730	0.00000
0108	0.00000	6.02838	36.34139	0.00000	36.34139	32.84546	0.99902	0.85254
0109	0.00000	6.97490	48.64926	0.00866	48.64059	18.48147	0.99121	0.05566
0110	0.00000	7.43076	55.21625	0.94310	54.27315	15.24198	0.98926	0.00000
0111	0.00000	6.72353	45.20579	0.00000	45.20579	22.18118	0.99512	0.33105
